
   OTHER: boig	PAR: ra/ig__n	FORMS: NCMP000 boigs NCMP000 bojos NCMS000 boig

APERTIUM: bombo	PAR: abric__n	FORMS: NCMP000 bombos NCMS000 bombo
   OTHER: bombo	PAR: acompanyant__n	FORMS: NCCP000 bombos NCCS000 bombo

APERTIUM: bosnià	PAR: americ/à__n	FORMS: NCFP000 bosnianes NCFS000 bosniana NCMP000 bosnians NCMS000 bosnià
   OTHER: bosnià	PAR: bacall/à__n	FORMS: NCMP000 bosnians NCMS000 bosnià

APERTIUM: botifarra	PAR: abell/a__n	FORMS: NCFP000 botifarres NCFS000 botifarra
   OTHER: botifarra	PAR: accionist/a__n	FORMS: NCCP000 botifarres NCCS000 botifarra

APERTIUM: boxa	PAR: q__n	FORMS: NCFS000 boxa
   OTHER: boxa	PAR: abell/a__n	FORMS: NCFP000 boxes NCFS000 boxa

APERTIUM: braille	PAR: abric__n	FORMS: NCMP000 brailles NCMS000 braille
   OTHER: braille	PAR: BBVA__n	FORMS: NCMS000 braille
   OTHER: braille	PAR: atletisme__n	FORMS: NCMS000 braille

APERTIUM: braça	PAR: abell/a__n	FORMS: NCFP000 braçes NCFS000 braça
   OTHER: braça	PAR: adre/ça__n	FORMS: NCFP000 braces NCFS000 braça

APERTIUM: brigada	PAR: abell/a__n	FORMS: NCFP000 brigades NCFS000 brigada
   OTHER: brigada	PAR: accionist/a__n	FORMS: NCCP000 brigades NCCS000 brigada

APERTIUM: brunyidor	PAR: abric__n	FORMS: NCMP000 brunyidors NCMS000 brunyidor
   OTHER: brunyidor	PAR: senyor__n	FORMS: NCFP000 brunyidores NCFS000 brunyidora NCMP000 brunyidors NCMS000 brunyidor

APERTIUM: brunzidor	PAR: abric__n	FORMS: NCMP000 brunzidors NCMS000 brunzidor
   OTHER: brunzidor	PAR: senyor__n	FORMS: NCFP000 brunzidores NCFS000 brunzidora NCMP000 brunzidors NCMS000 brunzidor

APERTIUM: bucaner	PAR: senyor__n	FORMS: NCFP000 bucaneres NCFS000 bucanera NCMP000 bucaners NCMS000 bucaner
   OTHER: bucaner	PAR: abric__n	FORMS: NCMP000 bucaners NCMS000 bucaner

APERTIUM: bufador	PAR: abric__n	FORMS: NCMP000 bufadors NCMS000 bufador
   OTHER: bufador	PAR: senyor__n	FORMS: NCFP000 bufadores NCFS000 bufadora NCMP000 bufadors NCMS000 bufador

APERTIUM: bullidor	PAR: abric__n	FORMS: NCMP000 bullidors NCMS000 bullidor
   OTHER: bullidor	PAR: senyor__n	FORMS: NCFP000 bullidores NCFS000 bullidora NCMP000 bullidors NCMS000 bullidor

APERTIUM: bust	PAR: abric__n	FORMS: NCMP000 busts NCMS000 bust
   OTHER: bust	PAR: abast__n	FORMS: NCMP000 bustos NCMP000 busts NCMS000 bust

APERTIUM: bàsquet	PAR: atletisme__n	FORMS: NCMS000 bàsquet
   OTHER: bàsquet	PAR: abric__n	FORMS: NCMP000 bàsquets NCMS000 bàsquet

APERTIUM: cabró	PAR: amfitri/ó__n	FORMS: NCFP000 cabrones NCFS000 cabrona NCMP000 cabrons NCMS000 cabró
   OTHER: cabró	PAR: aband/ó__n	FORMS: NCMP000 cabrons NCMS000 cabró

