
   OTHER: desagradable	PAR: ??????????????	FORMS: AQ0CP0 desagradables AQ0CS0 desagradable AQ0FP0 desagradabilíssimes AQ0FS0 desagradabilíssima AQ0MP0 desagradabilíssims AQ0MS0 desagradabilíssim

APERTIUM: dietílic	PAR: acadèmi/c__adj	FORMS: AQ0FP0 dietíliques AQ0FS0 dietílica AQ0MP0 dietílics AQ0MS0 dietílic
   OTHER: dietílic	PAR: ??????????????	FORMS: AQ0MP0 dietílics AQ0MS0 dietílic

APERTIUM: difícil	PAR: abdominal__adj	FORMS: AQ0CP0 difícils AQ0CS0 difícil
   OTHER: difícil	PAR: ??????????????	FORMS: AQ0CP0 difícils AQ0CS0 difícil AQ0FP0 dificilíssimes AQ0FS0 dificilíssima AQ0MP0 dificilíssims AQ0MS0 dificilíssim

APERTIUM: dèbil	PAR: abdominal__adj	FORMS: AQ0CP0 dèbils AQ0CS0 dèbil
   OTHER: dèbil	PAR: ??????????????	FORMS: AQ0CP0 dèbils AQ0CS0 dèbil AQ0FP0 debilíssimes AQ0FS0 debilíssima AQ0MP0 debilíssims AQ0MS0 debilíssim

APERTIUM: emèrit	PAR: absolut__adj	FORMS: AQ0FP0 emèrites AQ0FS0 emèrita AQ0MP0 emèrits AQ0MS0 emèrit
   OTHER: emèrit	PAR: ??????????????	FORMS: AQ0FP0 emeritíssimes AQ0FP0 emèrites AQ0FS0 emeritíssima AQ0FS0 emèrita AQ0MP0 emeritíssims AQ0MP0 emèrits AQ0MS0 emeritíssim AQ0MS0 emèrit

APERTIUM: escàs	PAR: esc/às__adj	FORMS: AQ0FP0 escasses AQ0FS0 escassa AQ0MP0 escassos AQ0MS0 escàs
   OTHER: escàs	PAR: ??????????????	FORMS: AQ0FP0 escasses AQ0FP0 escassíssimes AQ0FS0 escassa AQ0FS0 escassíssima AQ0MP0 escassos AQ0MP0 escassíssims AQ0MS0 escassíssim AQ0MS0 escàs

APERTIUM: favorable	PAR: abdominal__adj	FORMS: AQ0CP0 favorables AQ0CS0 favorable
   OTHER: favorable	PAR: ??????????????	FORMS: AQ0CP0 favorables AQ0CS0 favorable AQ0FP0 favorabilíssimes AQ0FS0 favorabilíssima AQ0MP0 favorabilíssims AQ0MS0 favorabilíssim

APERTIUM: fosc	PAR: bas/c__adj	FORMS: AQ0FP0 fosques AQ0FS0 fosca AQ0MP0 foscos AQ0MP0 foscs AQ0MS0 fosc
   OTHER: fosc	PAR: ??????????????	FORMS: AQ0FP0 fosques AQ0FP0 fosquíssimes AQ0FS0 fosca AQ0FS0 fosquíssima AQ0MP0 foscos AQ0MP0 foscs AQ0MP0 fosquíssims AQ0MS0 fosc AQ0MS0 fosquíssim

APERTIUM: fresc	PAR: bas/c__adj	FORMS: AQ0FP0 fresques AQ0FS0 fresca AQ0MP0 frescos AQ0MP0 frescs AQ0MS0 fresc
   OTHER: fresc	PAR: ??????????????	FORMS: AQ0FP0 fresques AQ0FP0 fresquíssimes AQ0FS0 fresca AQ0FS0 fresquíssima AQ0MP0 frescos AQ0MP0 frescs AQ0MP0 fresquíssims AQ0MS0 fresc AQ0MS0 fresquíssim

APERTIUM: fàcil	PAR: abdominal__adj	FORMS: AQ0CP0 fàcils AQ0CS0 fàcil
   OTHER: fàcil	PAR: ??????????????	FORMS: AQ0CP0 fàcils AQ0CS0 fàcil AQ0FP0 facilíssimes AQ0FS0 facilíssima AQ0MP0 facilíssims AQ0MS0 facilíssim

APERTIUM: fèrtil	PAR: abdominal__adj	FORMS: AQ0CP0 fèrtils AQ0CS0 fèrtil
   OTHER: fèrtil	PAR: ??????????????	FORMS: AQ0CP0 fèrtils AQ0CS0 fèrtil AQ0FP0 fertilíssimes AQ0FS0 fertilíssima AQ0MP0 fertilíssims AQ0MS0 fertilíssim

APERTIUM: greu	PAR: abdominal__adj	FORMS: AQ0CP0 greus AQ0CS0 greu
   OTHER: greu	PAR: ??????????????	FORMS: AQ0CP0 greus AQ0CS0 greu AQ0FP0 gravíssimes AQ0FS0 gravíssima AQ0MP0 gravíssims AQ0MS0 gravíssim

APERTIUM: humà	PAR: afric/à__adj	FORMS: AQ0FP0 humanes AQ0FS0 humana AQ0MP0 humans AQ0MS0 humà
   OTHER: humà	PAR: ??????????????	FORMS: AQ0FP0 humanes AQ0FP0 humaníssimes AQ0FS0 humana AQ0FS0 humaníssima AQ0MP0 humans AQ0MP0 humaníssims AQ0MS0 humaníssim AQ0MS0 humà

APERTIUM: hàbil	PAR: abdominal__adj	FORMS: AQ0CP0 hàbils AQ0CS0 hàbil
   OTHER: hàbil	PAR: ??????????????	FORMS: AQ0CP0 hàbils AQ0CS0 hàbil AQ0FP0 habilíssimes AQ0FS0 habilíssima AQ0MP0 habilíssims AQ0MS0 habilíssim

APERTIUM: improbable	PAR: abdominal__adj	FORMS: AQ0CP0 improbables AQ0CS0 improbable
   OTHER: improbable	PAR: ??????????????	FORMS: AQ0CP0 improbables AQ0CS0 improbable AQ0FP0 improbabilíssimes AQ0FS0 improbabilíssima AQ0MP0 improbabilíssims AQ0MS0 improbabilíssim

APERTIUM: incòmode	PAR: c/òmode__adj	FORMS: AQ0FP0 incomodíssimes AQ0FP0 incòmodes AQ0FS0 incomodíssima AQ0FS0 incòmoda AQ0MP0 incomodíssims AQ0MP0 incòmodes AQ0MS0 incomodíssim AQ0MS0 incòmode
   OTHER: incòmode	PAR: ??????????????	FORMS: AQ0CP0 incòmodes AQ0FP0 incomodíssimes AQ0FS0 incomodíssima AQ0FS0 incòmoda AQ0MP0 incomodíssims AQ0MS0 incomodíssim AQ0MS0 incòmode

APERTIUM: inoportú	PAR: com/ú__adj	FORMS: AQ0FP0 inoportunes AQ0FS0 inoportuna AQ0MP0 inoportuns AQ0MS0 inoportú
   OTHER: inoportú	PAR: ??????????????	FORMS: AQ0FP0 inoportunes AQ0FP0 inoportuníssimes AQ0FS0 inoportuna AQ0FS0 inoportuníssima AQ0MP0 inoportuns AQ0MP0 inoportuníssims AQ0MS0 inoportuníssim AQ0MS0 inoportú

APERTIUM: jove	PAR: j/ove__adj	FORMS: AQ0CP0 joves AQ0CP0 jóvens AQ0CS0 jove
   OTHER: jove	PAR: ??????????????	FORMS: AQ0CP0 joves AQ0CP0 jóvens AQ0CS0 jove AQ0FP0 joveníssimes AQ0FS0 joveníssima AQ0MP0 joveníssims AQ0MS0 joveníssim

APERTIUM: lamentable	PAR: abdominal__adj	FORMS: AQ0CP0 lamentables AQ0CS0 lamentable
   OTHER: lamentable	PAR: ??????????????	FORMS: AQ0CP0 lamentables AQ0CS0 lamentable AQ0FP0 lamentabilíssimes AQ0FS0 lamentabilíssima AQ0MP0 lamentabilíssims AQ0MS0 lamentabilíssim

APERTIUM: llarg	PAR: amarg__adj	FORMS: AQ0FP0 llargues AQ0FS0 llarga AQ0MP0 llargs AQ0MS0 llarg
   OTHER: llarg	PAR: ??????????????	FORMS: AQ0FP0 llargues AQ0FP0 llarguíssimes AQ0FS0 llarga AQ0FS0 llarguíssima AQ0MP0 llargs AQ0MP0 llarguíssims AQ0MS0 llarg AQ0MS0 llarguíssim

