estriat estriada [sup. estriadíssim]=categories:A; font:apertium;
estricte estricta [sup. estrictíssim]=categories:A; font:apertium;
estudiós estudiosa [sup. estudiosíssim]=categories:A; font:apertium;
estupefacte estupefacta [sup. estupefactíssim]=categories:A; font:apertium;
esvelt esvelta [sup. esveltíssim]=categories:A; font:apertium;
evident [sup. evidentíssim]=categories:A; font:apertium;
exacte exacta [sup. exactíssim]=categories:A; font:apertium;
exagerat exagerada [sup. exageradíssim]=categories:A; font:apertium;
excels excelsa [sup. excelsíssim]=categories:A; font:apertium;
experimentat experimentada [sup. experimentadíssim]=categories:A; font:apertium;
exquisit exquisida [sup. exquisidíssim]=categories:A; font:apertium;
extens extensa [sup. extensíssim]=categories:A; font:apertium;
extremat extremada [sup. extremadíssim]=categories:A; font:apertium;
fabulós fabulosa [sup. fabulosíssim]=categories:A; font:apertium;
fals falsa [sup. falsíssim]=categories:A; font:apertium;
famós famosa [sup. famosíssim]=categories:A; font:apertium;
fangós fangosa [sup. fangosíssim]=categories:A; font:apertium;
farcit farcida [sup. farcidíssim]=categories:A; font:apertium;
fart farta [sup. fartíssim]=categories:A; font:apertium;
fastigós fastigosa [sup. fastigosíssim]=categories:A; font:apertium;
fastuós fastuosa [sup. fastuosíssim]=categories:A; font:apertium;
fatigós fatigosa [sup. fatigosíssim]=categories:A; font:apertium;
feixuc feixuga [sup. feixuguíssim]=categories:A; font:apertium;
fermentat fermentada [sup. fermentadíssim]=categories:A; font:apertium;
ferm ferma [sup. fermíssim]=categories:A; font:apertium;
fervorós fervorosa [sup. fervorosíssim]=categories:A; font:apertium;
fibrós fibrosa [sup. fibrosíssim]=categories:A; font:apertium;
fi fina [sup. finíssim]=categories:A; font:apertium;
fix fixa [sup. fixíssim]=categories:A; font:apertium;
flac flaca [sup. flaquíssim]=categories:A; font:apertium;
fluix fluixa [sup. fluixíssim]=categories:A; font:apertium;
folgat folgada [sup. folgadíssim]=categories:A; font:apertium;
forçós forçosa [sup. forçosíssim]=categories:A; font:apertium;
forçut forçuda [sup. forçudíssim]=categories:A; font:apertium;
fragorós fragorosa [sup. fragorosíssim]=categories:A; font:apertium;
fred freda [sup. fredíssim]=categories:A; font:apertium;
freqüent [sup. freqüentíssim]=categories:A; font:apertium;
frondós frondosa [sup. frondosíssim]=categories:A; font:apertium;
fructuós fructuosa [sup. fructuosíssim]=categories:A; font:apertium;
fumat fumada [sup. fumadíssim]=categories:A; font:apertium;
furiós furiosa [sup. furiosíssim]=categories:A; font:apertium;
gelós gelosa [sup. gelosíssim]=categories:A; font:apertium;
generós generosa [sup. generosíssim]=categories:A; font:apertium;
globalitzat globalitzada [sup. globalitzadíssim]=categories:A; font:apertium;
gloriós gloriosa [sup. gloriosíssim]=categories:A; font:apertium;
gojós gojosa [sup. gojosíssim]=categories:A; font:apertium;
graciós graciosa [sup. graciosíssim]=categories:A; font:apertium;
grandiós grandiosa [sup. grandiosíssim]=categories:A; font:apertium;
gran [sup. grandíssim]=categories:A; font:apertium;
grat grata [sup. gratíssim]=categories:A; font:apertium;
groc groga [sup. groguíssim]=categories:A; font:apertium;
gros grossa [sup. grossíssim]=categories:A; font:apertium;
gruixut gruixuda [sup. gruixudíssim]=categories:A; font:apertium;
guapo guapa [sup. guapíssim]=categories:A; font:apertium;
gustós gustosa [sup. gustosíssim]=categories:A; font:apertium;
harmoniós harmoniosa [sup. harmoniosíssim]=categories:A; font:apertium;
honrat honrada [sup. honradíssim]=categories:A; font:apertium;
horrorós horrorosa [sup. horrorosíssim]=categories:A; font:apertium;
humit humida [sup. humidíssim]=categories:A; font:apertium;
ideologitzat ideologitzada [sup. ideologitzadíssim]=categories:A; font:apertium;
ignominiós ignominiosa [sup. ignominiosíssim]=categories:A; font:apertium;
il·lusionat il·lusionada [sup. il·lusionadíssim]=categories:A; font:apertium;
il·lustre [sup. il·lustríssim]=categories:A; font:apertium;
