
APERTIUM: aspirador	PAR: abril__n	FORMS: NCMP000 aspiradores NCMS000 aspirador
   OTHER: aspirador	PAR: señor__n	FORMS: NCFP000 aspiradoras NCFS000 aspiradora NCMP000 aspiradores NCMS000 aspirador

APERTIUM: astrofísico	PAR: abogad/o__n	FORMS: NCFP000 astrofísicas NCFS000 astrofísica NCMP000 astrofísicos NCMS000 astrofísico
   OTHER: astrofísico	PAR: abismo__n	FORMS: NCMP000 astrofísicos NCMS000 astrofísico

APERTIUM: astur	PAR: abril__n	FORMS: NCMP000 astures NCMS000 astur
   OTHER: astur	PAR: albañil__n	FORMS: NCCP000 astures NCCS000 astur

APERTIUM: asíndeton	PAR: asíndeto/n__n	FORMS: NCMP000 asíndetos NCMS000 asíndeton
   OTHER: asíndeton	PAR: campus__n	FORMS: NCMN000 asíndeton

APERTIUM: atletismo	PAR: atletismo__n	FORMS: NCMS000 atletismo
   OTHER: atletismo	PAR: abismo__n	FORMS: NCMP000 atletismos NCMS000 atletismo

APERTIUM: ATP	PAR: BBC__n	FORMS: NCFS000 ATP
   OTHER: ATP	PAR: ATS__n	FORMS: NCCN000 ATP
   OTHER: ATP	PAR: guardaespaldas__n	FORMS: NCCN000 ATP

APERTIUM: atractivo	PAR: abogad/o__n	FORMS: NCFP000 atractivas NCFS000 atractiva NCMP000 atractivos NCMS000 atractivo
   OTHER: atractivo	PAR: abismo__n	FORMS: NCMP000 atractivos NCMS000 atractivo

APERTIUM: automotor	PAR: abismo__n	FORMS: NCMP000 automotors NCMS000 automotor
   OTHER: automotor	PAR: señor__n	FORMS: NCFP000 automotoras NCFS000 automotora NCMP000 automotores NCMS000 automotor

APERTIUM: autostop	PAR: abismo__n	FORMS: NCMP000 autoestops NCMS000 autoestop
   OTHER: autostop	PAR: atletismo__n	FORMS: NCMS000 autostop

APERTIUM: autotransformador	PAR: señor__n	FORMS: NCFP000 autotransformadoras NCFS000 autotransformadora NCMP000 autotransformadores NCMS000 autotransformador
   OTHER: autotransformador	PAR: abril__n	FORMS: NCMP000 autotransformadores NCMS000 autotransformador

APERTIUM: autónomo	PAR: abogad/o__n	FORMS: NCFP000 autónomas NCFS000 autónoma NCMP000 autónomos NCMS000 autónomo
   OTHER: autónomo	PAR: abismo__n	FORMS: NCMP000 autónomos NCMS000 autónomo

APERTIUM: avaro	PAR: abismo__n	FORMS: NCMP000 avaros NCMS000 avaro
   OTHER: avaro	PAR: abogad/o__n	FORMS: NCFP000 avaras NCFS000 avara NCMP000 avaros NCMS000 avaro

APERTIUM: AVE	PAR: BBVA__n	FORMS: NCMS000 AVE
   OTHER: AVE	PAR: IRPF__n	FORMS: NCMN000 AVE
   OTHER: AVE	PAR: campus__n	FORMS: NCMN000 AVE

APERTIUM: aventurero	PAR: abismo__n	FORMS: NCMP000 aventureros NCMS000 aventurero
   OTHER: aventurero	PAR: abogad/o__n	FORMS: NCFP000 aventureras NCFS000 aventurera NCMP000 aventureros NCMS000 aventurero

APERTIUM: avestruz	PAR: actri/z__n	FORMS: NCFP000 avestruces NCFS000 avestruz
   OTHER: avestruz	PAR: ajedre/z__n	FORMS: NCMP000 avestruces NCMS000 avestruz

APERTIUM: ayatolá	PAR: abismo__n	FORMS: NCMP000 ayatolas NCMS000 ayatola
   OTHER: ayatolá	PAR: abismo__n	FORMS: NCMP000 ayatolás NCMS000 ayatolá

APERTIUM: azúcar	PAR: abril__n	FORMS: NCMP000 azúcares NCMS000 azúcar
   OTHER: azúcar	PAR: albañil__n	FORMS: NCCP000 azúcares NCCS000 azúcar

APERTIUM: bable	PAR: abismo__n	FORMS: NCMP000 bables NCMS000 bable
   OTHER: bable	PAR: accionista__n	FORMS: NCCP000 bables NCCS000 bable

APERTIUM: babuino	PAR: abismo__n	FORMS: NCMP000 babuinos NCMS000 babuino
   OTHER: babuino	PAR: abogad/o__n	FORMS: NCFP000 babuinas NCFS000 babuina NCMP000 babuinos NCMS000 babuino

APERTIUM: bachiller	PAR: albañil__n	FORMS: NCCP000 bachilleres NCCS000 bachiller
   OTHER: bachiller	PAR: abril__n	FORMS: NCMP000 bachilleres NCMS000 bachiller

APERTIUM: balasto	PAR: abismo__n	FORMS: NCMP000 balastros NCMS000 balastro
